Bank_Code,Bank_Name,Branch_Code,Atm_Num,ATM_Address,ATM_Address_Extra,City,Commission,ATM_Type,ATM_Location,Handicap_Access,X_Coordinate,Y_Coordinate
13,"13001-בנק אגוד לישראל בע""מ",154,1541,גינת עמק זבולון 24,,מודיעין-מכבים-רעות*,לא,משיכת מזומן,על קיר הסניף,לא,34.997864,31.907249
13,"13001-בנק אגוד לישראל בע""מ",155,1551,סוקולוב 90,,רמת השרון,לא,משיכת מזומן,על קיר הסניף,כן,34.839809,32.148441
13,"13001-בנק אגוד לישראל בע""מ",155,1552,סוקולוב 90,,רמת השרון,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,34.839809,32.148441
13,"13001-בנק אגוד לישראל בע""מ",63,632,אחוזת בית 6,,תל אביב -יפו,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,34.770454,32.06426
13,"13001-בנק אגוד לישראל בע""מ",64,642,אהרון בקר 8,,תל אביב -יפו,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,34.816495,32.12303
13,"13001-בנק אגוד לישראל בע""מ",66,662,גורדון 42,,תל אביב -יפו,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,34.773687,32.081715
13,"13001-בנק אגוד לישראל בע""מ",70,702,ההסתדרות 26,,פתח תקווה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,34.886827,32.086067
13,"13001-בנק אגוד לישראל בע""מ",71,712,שדרות ירושלים 12,,אשדוד,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,34.639519,31.795554
13,"13001-בנק אגוד לישראל בע""מ",72,722,סוקולוב 38,,הרצלייה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,34.844708,32.167074
13,"13001-בנק אגוד לישראל בע""מ",75,752,אחוזה 153 153,,רעננה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,34.870682,32.181288
13,"13001-בנק אגוד לישראל בע""מ",81,812,"פלי""ם 6",,חיפה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,35.000336,32.816731
13,"13001-בנק אגוד לישראל בע""מ",91,912,שטמפפר 17,,נתניה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,34.853753,32.327605
13,"13001-בנק אגוד לישראל בע""מ",93,932,אחד העם 1,,רחובות,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,34.812181,31.896297
13,"13001-בנק אגוד לישראל בע""מ",94,942,יצחק בן צבי 7,,באר שבע,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,34.798687,31.244128
13,"13001-בנק אגוד לישראל בע""מ",95,952,הבונים 3,,נתניה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,34.860666,32.280368
13,"13001-בנק אגוד לישראל בע""מ",152,1522,סוקולוב 15,,הוד השרון,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,34.902197,32.163689
13,"13001-בנק אגוד לישראל בע""מ",153,1532,שד' ירושלים 18,,קריית ביאליק,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,לא,35.078349,32.824724
13,"13001-בנק אגוד לישראל בע""מ",190,1902,שד' הגעתון 26,,נהרייה,לא,"מכשיר מידע/או מתן הוראות
",על קיר הסניף,כן,35.094702,33.0067
13,"13001-בנק אגוד לישראל בע""מ",190,1901,שד' הגעתון 26,,נהרייה,לא,משיכת מזומן,על קיר הסניף,כן,35.094702,33.0067
